Id,Category
0,6
1,4
2,5
3,1
4,1
5,4
6,8
7,9
8,5
9,1
10,3
11,5
12,8
13,4
14,4
15,3
16,3
17,8
18,5
19,4
20,6
21,0
22,7
23,3
24,1
25,8
26,3
27,9
28,3
29,8
30,1
31,2
32,3
33,6
34,3
35,3
36,5
37,6
38,8
39,7
40,9
41,4
42,3
43,2
44,3
45,7
46,2
47,2
48,7
49,8
50,0
51,8
52,1
53,7
54,7
55,1
56,3
57,3
58,4
59,1
60,9
61,1
62,8
63,5
64,5
65,1
66,0
67,5
68,3
69,8
70,4
71,8
72,4
73,6
74,5
75,4
76,2
77,4
78,8
79,8
80,1
81,5
82,3
83,9
84,8
85,1
86,8
87,6
88,1
89,6
90,1
91,4
92,7
93,4
94,8
95,0
96,2
97,0
98,0
99,2
100,3
101,5
102,7
103,7
104,1
105,3
106,1
107,3
108,4
109,1
110,4
111,1
112,1
113,3
114,8
115,5
116,5
117,9
118,1
119,0
120,6
121,4
122,7
123,3
124,4
125,8
126,5
127,5
128,2
129,7
130,7
131,0
132,7
133,9
134,4
135,9
136,2
137,5
138,8
139,1
140,1
141,4
142,6
143,5
144,9
145,0
146,1
147,8
148,6
149,4
150,6
151,4
152,1
153,4
154,7
155,5
156,8
157,1
158,1
159,6
160,5
161,2
162,1
163,2
164,6
165,4
166,4
167,2
168,8
169,7
170,9
171,5
172,6
173,6
174,4
175,0
176,1
177,6
178,8
179,4
180,3
181,9
182,8
183,9
184,5
185,1
186,4
187,1
188,8
189,6
190,1
191,7
192,0
193,9
194,5
195,4
196,2
197,4
198,3
199,2
200,1
201,1
202,7
203,3
204,4
205,1
206,1
207,6
208,4
209,0
210,1
211,3
212,3
213,1
214,4
215,1
216,7
217,3
218,8
219,1
220,9
221,5
222,4
223,4
224,3
225,4
226,1
227,4
228,0
229,7
230,9
231,4
232,5
233,9
234,7
235,5
236,9
237,3
238,5
239,1
240,6
241,1
242,9
243,6
244,9
245,4
246,6
247,0
248,2
249,2
250,6
251,9
252,8
253,1
254,1
255,7
256,1
257,2
258,3
259,1
260,1
261,4
262,5
263,3
264,4
265,4
266,8
267,0
268,5
269,0
270,3
271,6
272,1
273,3
274,7
275,2
276,1
277,4
278,5
279,3
280,5
281,0
282,0
283,0
284,2
285,0
286,1
287,1
288,0
289,3
290,5
291,6
292,7
293,3
294,4
295,2
296,0
297,4
298,1
299,5
300,2
301,8
302,8
303,8
304,5
305,4
306,2
307,7
308,4
309,7
310,4
311,3
312,6
313,6
314,9
315,4
316,8
317,8
318,3
319,2
320,4
321,3
322,4
323,8
324,5
325,7
326,0
327,5
328,3
329,8
330,9
331,4
332,1
333,8
334,7
335,7
336,5
337,5
338,3
339,9
340,4
341,7
342,0
343,4
344,4
345,5
346,4
347,8
348,4
349,7
350,4
351,8
352,2
353,1
354,3
355,1
356,5
357,5
358,3
359,1
360,0
361,6
362,1
363,5
364,5
365,4
366,5
367,5
368,7
369,8
370,2
371,5
372,2
373,9
374,2
375,9
376,7
377,2
378,5
379,3
380,5
381,4
382,9
383,4
384,1
385,6
386,1
387,4
388,5
389,9
390,0
391,1
392,5
393,0
394,4
395,8
396,1
397,5
398,6
399,2
400,4
401,1
402,2
403,3
404,1
405,4
406,4
407,1
408,6
409,3
410,7
411,3
412,4
413,7
414,3
415,4
416,6
417,3
418,5
419,6
420,4
421,2
422,8
423,3
424,3
425,7
426,8
427,4
428,7
429,5
430,0
431,0
432,0
433,6
434,8
435,9
436,5
437,5
438,1
439,0
440,3
441,0
442,2
443,8
444,8
